cpg_id,chrA,startA,RefGene,RefGene_Group,average,median,stdev
cg00000029,16,53468112,RBL2,TSS1500,0.123,0.123,0.004
cg00005740,13,24079418,,,0.096,0.106,0.004
cg00008671,10,86087961,FAM190B,TSS1500,0.118,0.111,0.004
cg00008800,2,38710171,,,0.096,0.061,0.009
cg00010078,2,109967172,SH3RF3,Body,0.102,0.107,0.003
cg00011856,2,217560946,IGFBP5,TSS1500,0.095,0.083,0.007
cg00017461,22,30663316,OSM,TSS1500,0.123,0.107,0.006
cg00020390,7,100727888,TRIM56,TSS1500,0.099,0.086,0.004
cg00024471,3,188692547,,,0.105,0.088,0.005
cg00025044,10,50716478,ERCC6,Body,0.095,0.084,0.006
cg00027570,1,117306669,CD2,Body,0.096,0.100,0.005
cg00028211,2,45028802,,,0.097,0.091,0.006
cg00050271,16,81743881,CMIP;CMIP,3'UTR;3'UTR,0.110,0.117,0.005
cg00050375,6,43404828,ABCC10,Body,0.088,0.080,0.004
cg00052665,17,9941095,GAS7;GAS7,TSS1500;Body,0.091,0.088,0.005
cg00063979,5,139075286,,,0.090,0.072,0.003
cg00066748,8,496527,C8orf42,TSS1500,0.094,0.113,0.007
cg00071210,6,148736942,SASH1,Body,0.089,0.079,0.004
cg00072675,1,56942628,,,0.092,0.097,0.002
cg00079551,2,40001222,THUMPD2;THUMPD2,Body;Body,0.095,0.089,0.005
cg00092518,13,50070550,PHF11;PHF11;PHF11,Body;1stExon;5'UTR,0.128,0.123,0.006
cg00093643,15,44579510,CASC4;CASC4,TSS1500;TSS1500,0.088,0.089,0.005
cg00093829,10,6247101,PFKFB3;PFKFB3,Body;Body,0.093,0.071,0.007
cg00095333,17,70172535,,,0.091,0.075,0.003
cg00118808,9,132097931,,,0.091,0.088,0.001
cg00120332,6,88432950,,,0.103,0.097,0.005
cg00128951,1,88927170,,,0.086,0.085,0.003
cg00145093,10,11027947,,,0.087,0.088,0.004
cg00146928,12,9269671,A2M,TSS1500,0.087,0.071,0.006
cg00147943,1,68225713,GNG12,5'UTR,0.108,0.100,0.004
cg00152942,16,57125755,CPNE2,TSS1500,0.087,0.083,0.002
cg00156118,2,85473750,TCF7L1,Body,0.129,0.121,0.007
cg00159243,12,109023799,SELPLG,5'UTR,0.095,0.083,0.005
cg00167158,2,157909644,,,0.089,0.102,0.005
cg00172603,1,54822031,SSBP3;SSBP3;SSBP3,Body;Body;Body,0.091,0.056,0.010
cg00183468,3,142926178,,,0.093,0.091,0.003
cg00187244,22,41492007,EP300,Body,0.125,0.102,0.010
cg00191102,8,1958171,,,0.090,0.080,0.007
cg00204976,2,237475243,,,0.092,0.094,0.003
cg00206507,6,72199637,,,0.100,0.097,0.003
cg00212979,11,64647505,EHD1,TSS1500,0.110,0.092,0.006
cg00218134,17,19882222,AKAP10,TSS1500,0.098,0.085,0.005
cg00219585,12,2114225,DCP1B,TSS1500,0.106,0.092,0.005
cg00234613,4,87418006,,,0.095,0.083,0.003
cg00240880,20,43343233,WISP2,TSS1500,0.087,0.094,0.002
cg00244111,3,149086884,TM4SF1,3'UTR,0.090,0.107,0.003
cg00254017,5,56119093,MAP3K1,Body,0.100,0.101,0.004
cg00254888,6,163880196,QKI;QKI;QKI;QKI,Body;Body;Body;Body,0.130,0.124,0.005
cg00256068,20,47280201,PREX1,Body,0.114,0.110,0.003
